ime,obshtina,moshtnost
"ФтЕЦ ""3К-Кирилово""",община Елхово,0.02506
"ФтЕЦ ""3К - Кирилово 2""",община Елхово,0.06323
"ФтЕЦ ""Косово 3""",община Брегово,0.5126
"ФтЕЦ ""Ай Би Ем - Ръжево Конаре""",община Калояново,0.03
"ФтЕЦ ""АБС - Строй""",община Харманли,0.1008
"ФтЕЦ ""Абусолеа""",община Марица,0.12096
"ФтЕЦ ""АВВА""",община Златоград,0.01008
"ФтЕЦ ""Арис ВЕИ""",община Марица,0.08424
"ФтЕЦ ""Авенит - Жребино""",община Елхово,0.066
"ФтЕЦ ""Авис - Бузовград""",община Казанлък,0.03
"ФтЕЦ ""Ветово-4""",община Ветово,0.03
"ФтЕЦ ""Авто Сервиз Стоянов - Овощник""",община Казанлък,0.015
"ФтЕЦ ""Грийненерджи - Агроринг - Винарско 1""",община Камено,0.2
"ФтЕЦ ""Орешене 1""",община Ябланица,0.065
"ФтЕЦ ""Ресен""",община Велико Търново,5.0
"ФтЕЦ ""Полски Сеновец""",община Полски Тръмбеш,0.01598
"ФтЕЦ ""Адаса - Добриново""",община Карнобат,0.05775
"ФтЕЦ ""Тодор Икономово""",община Каолиново,4.8788
"ФтЕЦ ""Малко Търново""",община Малко Търново,2.4
"ФтЕЦ ""Аполон Импекс""",община Кърджали,0.03
"ФтЕЦ ""Бегово""",община Калояново,0.0594
"ФтЕЦ ""Аклима-Люлин""",община Стралджа,2.645
"ФтЕЦ ""Тодоричене 2""",община Луковит,0.07938
"ФтЕЦ ""Ал-Електрик - Маленово""",община Стралджа,0.04752
"ФтЕЦ ""Янково""",община Смядово,2.442
"ФтЕЦ ""Алекс Енерджи - Средец""",община Средец,0.3
"ФтЕЦ ""Алекс""",община Сандански,0.03
"ФтЕЦ ""Алфа Солар Груп""",община Карлово,3.0
"ФтЕЦ ""Алфа Солар - Младово""",община Сливен,2.4
"ФтЕЦ ""Алфа Солар Инвест""",община Карлово,5.0
"ФтЕЦ ""Александрина сълюшънс""",община Брезово,0.9071
"ФтЕЦ ""Алпиа Сотиря""",община Сливен,0.99176
"ФтЕЦ ""Алфа стар - Черни връх""",община Камено,4.0
"ФтЕЦ ""Алти - Черепово""",община Харманли,1.0
"ФтЕЦ ""Амитех""",община Струмяни,0.063
"ФтЕЦ ""Опака""",община Опака,0.0874
"ФтЕЦ ""Антон Иванов""",община Опан,0.07128
"ФтЕЦ ""Ялово""",община Велико Търново,0.0042
"ФтЕЦ ""Соколово""",община Балчик,0.078
"ФтЕЦ ""АПК Павликянов""",община Опан,0.0999
"ФтЕЦ ""Агриплам""",община Летница,4.0
"ФтЕЦ ""Вълчи дол""",община Вълчи дол,0.0648
"ФтЕЦ ""Аржил - 158""",община Марица,0.158
"ФтЕЦ ""Аржил - 78""",община Марица,0.078
"ФтЕЦ ""Орбелус 1""",община Симитли,0.2
"ФтЕЦ ""Лозница""",община Лозница,0.0977
"ФтЕЦ ""Армира Солар Системс - Ивайловград""",община Ивайловград,0.0882
"ФтЕЦ ""АС Солар - Княжевско 1""",община Опан,0.09576
"ФтЕЦ ""АС Солар - Княжевско 2""",община Опан,0.1026
"ФтЕЦ ""Самоводене""",община Велико Търново,21.0
"ФтЕЦ ""Атек""",община Пордим,0.08
"ФтЕЦ ""Атаро Клима""",община Пловдив,0.2
"ФтЕЦ ""Стойките""",община Смолян,0.00483
"ФтЕЦ ""Атасол - Крушаре""",община Сливен,1.017
"ФтЕЦ ""Атрон - Сливен 4""",община Сливен,0.1692
"ФтЕЦ ""Атолово Солар""",община Стралджа,5.0
"ФтЕЦ ""Бабил - Деветак""",община Карнобат,0.1053
